"artist_uri","artist_name","artist_id","artist_url"
"spotify:artist:3rWZHrfrsPBxVy692yAIxF","WILLOW","3rWZHrfrsPBxVy692yAIxF","https://api.spotify.com/v1/artists/3rWZHrfrsPBxVy692yAIxF"
"spotify:artist:0fubiYogCTeBykbgV7HGf6","Leah Marie Mason","0fubiYogCTeBykbgV7HGf6","https://api.spotify.com/v1/artists/0fubiYogCTeBykbgV7HGf6"
"spotify:artist:50co4Is1HCEo8bhOyUWKpn","Young Thug","50co4Is1HCEo8bhOyUWKpn","https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn"
"spotify:artist:7lDVEkjIURPMyUYwoQRrpw","Ryan Hurd","7lDVEkjIURPMyUYwoQRrpw","https://api.spotify.com/v1/artists/7lDVEkjIURPMyUYwoQRrpw"
"spotify:artist:3M2ei8oRgZ3TwTo6F6votj","Rose Falcon","3M2ei8oRgZ3TwTo6F6votj","https://api.spotify.com/v1/artists/3M2ei8oRgZ3TwTo6F6votj"
"spotify:artist:2qgvmDsc4jrqbAbjq1HGM2","Rodney Atkins","2qgvmDsc4jrqbAbjq1HGM2","https://api.spotify.com/v1/artists/2qgvmDsc4jrqbAbjq1HGM2"
"spotify:artist:2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","2AM4ilv6UzW0uMRuqKtDgN","https://api.spotify.com/v1/artists/2AM4ilv6UzW0uMRuqKtDgN"
"spotify:artist:687cZJR45JO7jhk1LHIbgq","Tems","687cZJR45JO7jhk1LHIbgq","https://api.spotify.com/v1/artists/687cZJR45JO7jhk1LHIbgq"
"spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","027TpXKGwdXP7iwbjUSpV8","https://api.spotify.com/v1/artists/027TpXKGwdXP7iwbjUSpV8"
"spotify:artist:7xZTozOYTK6YKaxcQxeBdP","Drew Green","7xZTozOYTK6YKaxcQxeBdP","https://api.spotify.com/v1/artists/7xZTozOYTK6YKaxcQxeBdP"
"spotify:artist:3tVQdUvClmAT7URs9V3rsp","WizKid","3tVQdUvClmAT7URs9V3rsp","https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp"
"spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","1U1el3k54VvEUzo3ybLPlM","https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM"
"spotify:artist:0BvkDsjIUla7X0k6CSWh1I","Luke Bryan","0BvkDsjIUla7X0k6CSWh1I","https://api.spotify.com/v1/artists/0BvkDsjIUla7X0k6CSWh1I"
"spotify:artist:64WnGi9H0Xc2RCGbjYAFd5","Rot Ken","64WnGi9H0Xc2RCGbjYAFd5","https://api.spotify.com/v1/artists/64WnGi9H0Xc2RCGbjYAFd5"
"spotify:artist:2ICR2m4hOBPhaYiZB3rnLW","Sonder","2ICR2m4hOBPhaYiZB3rnLW","https://api.spotify.com/v1/artists/2ICR2m4hOBPhaYiZB3rnLW"
"spotify:artist:5dMnvpYEfXvSexjwnSRH5n","RaeLynn","5dMnvpYEfXvSexjwnSRH5n","https://api.spotify.com/v1/artists/5dMnvpYEfXvSexjwnSRH5n"
"spotify:artist:6IFXsrXBpwbIqtOUOiAa3p","Rick Springfield","6IFXsrXBpwbIqtOUOiAa3p","https://api.spotify.com/v1/artists/6IFXsrXBpwbIqtOUOiAa3p"
"spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","https://api.spotify.com/v1/artists/7Ey4PD4MYsKc5I2dolUwbH"
"spotify:artist:6HgEIsWCHekTTfnbOGJa3g","Fresco Trey","6HgEIsWCHekTTfnbOGJa3g","https://api.spotify.com/v1/artists/6HgEIsWCHekTTfnbOGJa3g"
"spotify:artist:5XLWHp9tjK7PWm7SMcvo2q","Restless Road","5XLWHp9tjK7PWm7SMcvo2q","https://api.spotify.com/v1/artists/5XLWHp9tjK7PWm7SMcvo2q"
